time;V(Net-_Q1-C_);
0,30028;2,15397;
0,30128;2,15397;
0,30228;2,15398;
0,30328;2,15398;
0,30428;2,15399;
0,30528;2,15399;
0,30628;2,154;
0,30728;2,154;
0,30828;2,15401;
0,30928;2,15401;
0,31028;2,15402;
0,31128;2,15402;
0,31228;2,15403;
0,31328;2,15403;
0,31428;2,15404;
0,31528;2,15404;
0,31628;2,15405;
0,31728;2,15405;
0,31828;2,15406;
0,31928;2,15406;
0,32028;2,15407;
0,32128;2,15407;
0,32228;2,15408;
0,32328;2,15408;
0,32428;2,15409;
0,32528;2,15409;
0,32628;2,1541;
0,32728;2,1541;
0,32828;2,1541;
0,32928;2,15411;
0,33028;2,15411;
0,33128;2,15412;
0,33228;2,15412;
0,33328;2,15413;
0,33428;2,15413;
0,33528;2,15414;
0,33628;2,15414;
0,33728;2,15414;
0,33828;2,15415;
0,33928;2,15415;
0,34028;2,15416;
0,34128;2,15416;
0,34228;2,15417;
0,34328;2,15417;
0,34428;2,15417;
0,34528;2,15418;
0,34628;2,15418;
0,34728;2,15419;
0,34828;2,15419;
0,34928;2,15419;
0,35028;2,1542;
0,35128;2,1542;
0,35228;2,1542;
0,35328;2,15421;
0,35428;2,15421;
0,35528;2,15421;
0,35628;2,15422;
0,35728;2,15422;
0,35828;2,15422;
0,35928;2,15423;
0,36028;2,15423;
0,36128;2,15423;
0,36228;2,15424;
0,36328;2,15424;
0,36428;2,15424;
0,36528;2,15424;
0,36628;2,15425;
0,36728;2,15425;
0,36828;2,15425;
0,36928;2,15425;
0,37028;2,15425;
0,37128;2,15425;
0,37228;2,15426;
0,37328;2,15426;
0,37428;2,15426;
0,37528;2,15426;
0,37628;2,15426;
0,37728;2,15426;
0,37828;2,15426;
0,37928;2,15426;
0,38028;2,15426;
0,38128;2,15426;
0,38228;2,15426;
0,38328;2,15426;
0,38428;2,15426;
0,38528;2,15426;
0,38628;2,15426;
0,38728;2,15426;
0,38828;2,15426;
0,38928;2,15425;
0,39028;2,15425;
0,39128;2,15425;
0,39228;2,15425;
0,39328;2,15424;
0,39428;2,15424;
0,39528;2,15424;
0,39628;2,15423;
0,39728;2,15423;
0,39828;2,15422;
0,39928;2,15422;
0,40028;2,15421;
0,40128;2,15421;
0,40228;2,1542;
0,40328;2,15419;
0,40428;2,15418;
0,40528;2,15418;
0,40628;2,15417;
0,40728;2,15416;
0,40828;2,15415;
0,40928;2,15414;
0,41028;2,15413;
0,41128;2,15412;
0,41228;2,1541;
0,41328;2,15409;
0,41428;2,15408;
0,41528;2,15406;
0,41628;2,15405;
0,41728;2,15403;
0,41828;2,15402;
0,41928;2,154;
0,42028;2,15398;
0,42128;2,15396;
0,42228;2,15394;
0,42328;2,15392;
0,42428;2,1539;
0,42528;2,15387;
0,42628;2,15385;
0,42728;2,15382;
0,42828;2,1538;
0,42928;2,15377;
0,43028;2,15374;
0,43128;2,15371;
0,43228;2,15368;
0,43328;2,15364;
0,43428;2,15361;
0,43528;2,15357;
0,43628;2,15353;
0,43728;2,15349;
0,43828;2,15345;
0,43928;2,15341;
0,44028;2,15336;
0,44128;2,15332;
0,44228;2,15327;
0,44328;2,15322;
0,44428;2,15316;
0,44528;2,15311;
0,44628;2,15305;
0,44728;2,15299;
0,44828;2,15292;
0,44928;2,15286;
0,45028;2,15279;
0,45128;2,15272;
0,45228;2,15264;
0,45328;2,15257;
0,45428;2,15249;
0,45528;2,1524;
0,45628;2,15231;
0,45728;2,15222;
0,45828;2,15213;
0,45928;2,15203;
0,46028;2,15193;
0,46128;2,15182;
0,46228;2,15171;
0,46328;2,15159;
0,46428;2,15147;
0,46528;2,15135;
0,46628;2,15122;
0,46728;2,15109;
0,46828;2,15094;
0,46928;2,1508;
0,47028;2,15065;
0,47128;2,15049;
0,47228;2,15032;
0,47328;2,15015;
0,47428;2,14998;
0,47528;2,14979;
0,47628;2,1496;
0,47728;2,1494;
0,47828;2,14919;
0,47928;2,14898;
0,48028;2,14876;
0,48128;2,14852;
0,48228;2,14828;
0,48328;2,14803;
0,48428;2,14777;
0,48528;2,1475;
0,48628;2,14722;
0,48728;2,14693;
0,48828;2,14663;
0,48928;2,14631;
0,49028;2,14598;
0,49128;2,14564;
0,49228;2,14529;
0,49328;2,14492;
0,49428;2,14454;
0,49528;2,14415;
0,49628;2,14374;
0,49728;2,14331;
0,49828;2,14287;
0,49928;2,14241;
0,50028;2,14194;
0,50128;2,14144;
0,50228;2,14093;
0,50328;2,1404;
0,50428;2,13985;
0,50528;2,13928;
0,50628;2,13868;
0,50728;2,13806;
0,50828;2,13743;
0,50928;2,13676;
0,51028;2,13607;
0,51128;2,13536;
0,51228;2,13462;
0,51328;2,13385;
0,51428;2,13305;
0,51528;2,13223;
0,51628;2,13137;
0,51728;2,13049;
0,51828;2,12956;
0,51928;2,12861;
0,52028;2,12762;
0,52128;2,1266;
0,52228;2,12554;
0,52328;2,12444;
0,52428;2,1233;
0,52528;2,12212;
0,52628;2,12089;
0,52728;2,11963;
0,52828;2,11832;
0,52928;2,11696;
0,53028;2,11555;
0,53128;2,1141;
0,53228;2,11259;
0,53328;2,11103;
0,53428;2,10941;
0,53528;2,10774;
0,53628;2,10602;
0,53728;2,10423;
0,53828;2,10238;
0,53928;2,10047;
0,54028;2,09849;
0,54128;2,09645;
0,54228;2,09434;
0,54328;2,09216;
0,54428;2,0899;
0,54528;2,08757;
0,54628;2,08516;
0,54728;2,08268;
0,54828;2,08011;
0,54928;2,07746;
0,55028;2,07473;
0,55128;2,07191;
0,55228;2,069;
0,55328;2,06599;
0,55428;2,0629;
0,55528;2,0597;
0,55628;2,05641;
0,55728;2,05302;
0,55828;2,04952;
0,55928;2,04592;
0,56028;2,04221;
0,56128;2,0384;
0,56228;2,03447;
0,56328;2,03042;
0,56428;2,02626;
0,56528;2,02198;
0,56628;2,01758;
0,56728;2,01305;
0,56828;2,0084;
0,56928;2,00362;
0,57028;1,99871;
0,57128;1,99367;
0,57228;1,98849;
0,57328;1,98318;
0,57428;1,97772;
0,57528;1,97213;
0,57628;1,9664;
0,57728;1,96052;
0,57828;1,95449;
0,57928;1,94832;
0,58028;1,94199;
0,58128;1,93552;
0,58228;1,92889;
0,58328;1,9221;
0,58428;1,91516;
0,58528;1,90807;
0,58628;1,90081;
0,58728;1,89339;
0,58828;1,88581;
0,58928;1,87807;
0,59028;1,87017;
0,59128;1,8621;
0,59228;1,85386;
0,59328;1,84546;
0,59428;1,83689;
0,59528;1,82815;
0,59628;1,81925;
0,59728;1,81017;
0,59828;1,80093;
0,59928;1,79151;
0,60028;1,78193;
0,60128;1,77217;
0,60228;1,76225;
0,60328;1,75215;
0,60428;1,74189;
0,60528;1,73145;
0,60628;1,72084;
0,60728;1,71007;
0,60828;1,69912;
0,60928;1,688;
0,61028;1,67672;
0,61128;1,66527;
0,61228;1,65365;
0,61328;1,64186;
0,61428;1,62991;
0,61528;1,61779;
0,61628;1,6055;
0,61728;1,59305;
0,61828;1,58044;
0,61928;1,56767;
0,62028;1,55474;
0,62128;1,54164;
0,62228;1,52839;
0,62328;1,51498;
0,62428;1,50141;
0,62528;1,48769;
0,62628;1,47381;
0,62728;1,45978;
0,62828;1,4456;
0,62928;1,43127;
0,63028;1,41679;
0,63128;1,40216;
0,63228;1,38739;
0,63328;1,37247;
0,63428;1,3574;
0,63528;1,3422;
0,63628;1,32685;
0,63728;1,31137;
0,63828;1,29575;
0,63928;1,27999;
0,64028;1,2641;
0,64128;1,24807;
0,64228;1,23192;
0,64328;1,21563;
0,64428;1,19921;
0,64528;1,18267;
0,64628;1,166;
0,64728;1,14921;
0,64828;1,13229;
0,64928;1,11526;
0,65028;1,0981;
0,65128;1,08082;
0,65228;1,06343;
0,65328;1,04593;
0,65428;1,02831;
0,65528;1,01057;
0,65628;0,99273;
0,65728;0,974777;
0,65828;0,956716;
0,65928;0,938548;
0,66028;0,920276;
0,66128;0,901899;
0,66228;0,88342;
0,66328;0,86484;
0,66428;0,84616;
0,66528;0,827382;
0,66628;0,808506;
0,66728;0,789535;
0,66828;0,77047;
0,66928;0,751312;
0,67028;0,732061;
0,67128;0,71272;
0,67228;0,69329;
0,67328;0,673772;
0,67428;0,654167;
0,67528;0,634476;
0,67628;0,614701;
0,67728;0,594842;
0,67828;0,574901;
0,67928;0,55488;
0,68028;0,534778;
0,68128;0,514598;
0,68228;0,494341;
0,68328;0,474007;
0,68428;0,453597;
0,68528;0,433115;
0,68628;0,41256;
0,68728;0,391936;
0,68828;0,371248;
0,68928;0,350507;
0,69028;0,329734;
0,69128;0,308978;
0,69228;0,288345;
0,69328;0,268055;
0,69428;0,248531;
0,69528;0,230429;
0,69628;0,214492;
0,69728;0,201106;
0,69828;0,190175;
0,69928;0,181291;
0,70028;0,173992;
0,70128;0,167899;
0,70228;0,162722;
0,70328;0,158252;
0,70428;0,154337;
0,70528;0,150864;
0,70628;0,147755;
0,70728;0,144945;
0,70828;0,142383;
0,70928;0,140033;
0,71028;0,137863;
0,71128;0,13585;
0,71228;0,133974;
0,71328;0,132217;
0,71428;0,130567;
0,71528;0,129011;
0,71628;0,127541;
0,71728;0,126146;
0,71828;0,124821;
0,71928;0,123559;
0,72028;0,122354;
0,72128;0,121202;
0,72228;0,120098;
0,72328;0,119039;
0,72428;0,118021;
0,72528;0,117041;
0,72628;0,116097;
0,72728;0,115187;
0,72828;0,114307;
0,72928;0,113456;
0,73028;0,112633;
0,73128;0,111835;
0,73228;0,111061;
0,73328;0,11031;
0,73428;0,109581;
0,73528;0,108872;
0,73628;0,108182;
0,73728;0,10751;
0,73828;0,106856;
0,73928;0,106219;
0,74028;0,105597;
0,74128;0,10499;
0,74228;0,104398;
0,74328;0,103819;
0,74428;0,103253;
0,74528;0,1027;
0,74628;0,102159;
0,74728;0,10163;
0,74828;0,101111;
0,74928;0,100603;
0,75028;0,100105;
0,75128;0,0996176;
0,75228;0,0991392;
0,75328;0,0986699;
0,75428;0,0982094;
0,75528;0,0977574;
0,75628;0,0973135;
0,75728;0,0968776;
0,75828;0,0964492;
0,75928;0,0960283;
0,76028;0,0956145;
0,76128;0,0952076;
0,76228;0,0948074;
0,76328;0,0944137;
0,76428;0,0940263;
0,76528;0,093645;
0,76628;0,0932696;
0,76728;0,0929;
0,76828;0,0925359;
0,76928;0,0921772;
0,77028;0,0918238;
0,77128;0,0914756;
0,77228;0,0911323;
0,77328;0,0907939;
0,77428;0,0904601;
0,77528;0,090131;
0,77628;0,0898063;
0,77728;0,0894861;
0,77828;0,08917;
0,77928;0,0888581;
0,78028;0,0885502;
0,78128;0,0882463;
0,78228;0,0879462;
0,78328;0,0876499;
0,78428;0,0873573;
0,78528;0,0870682;
0,78628;0,0867826;
0,78728;0,0865005;
0,78828;0,0862217;
0,78928;0,0859462;
0,79028;0,0856738;
0,79128;0,0854046;
0,79228;0,0851384;
0,79328;0,0848753;
0,79428;0,0846151;
0,79528;0,0843577;
0,79628;0,0841031;
0,79728;0,0838514;
0,79828;0,0836022;
0,79928;0,0833558;
0,80028;0,0831119;
0,80128;0,0828706;
0,80228;0,0826317;
0,80328;0,0823953;
0,80428;0,0821613;
0,80528;0,0819297;
0,80628;0,0817003;
0,80728;0,0814732;
0,80828;0,0812484;
0,80928;0,0810257;
0,81028;0,0808051;
0,81128;0,0805867;
0,81228;0,0803703;
0,81328;0,080156;
0,81428;0,0799436;
0,81528;0,0797332;
0,81628;0,0795247;
0,81728;0,0793181;
0,81828;0,0791134;
0,81928;0,0789105;
0,82028;0,0787094;
0,82128;0,07851;
0,82228;0,0783124;
0,82328;0,0781166;
0,82428;0,0779224;
0,82528;0,0777298;
0,82628;0,0775389;
0,82728;0,0773496;
0,82828;0,0771619;
0,82928;0,0769757;
0,83028;0,076791;
0,83128;0,0766079;
0,83228;0,0764262;
0,83328;0,0762461;
0,83428;0,0760673;
0,83528;0,07589;
0,83628;0,075714;
0,83728;0,0755395;
0,83828;0,0753663;
0,83928;0,0751944;
0,84028;0,0750239;
0,84128;0,0748546;
0,84228;0,0746867;
0,84328;0,07452;
0,84428;0,0743545;
0,84528;0,0741903;
0,84628;0,0740273;
0,84728;0,0738655;
0,84828;0,0737049;
0,84928;0,0735454;
0,85028;0,0733871;
0,85128;0,0732299;
0,85228;0,0730738;
0,85328;0,0729189;
0,85428;0,072765;
0,85528;0,0726122;
0,85628;0,0724605;
0,85728;0,0723098;
0,85828;0,0721601;
0,85928;0,0720115;
0,86028;0,0718638;
0,86128;0,0717172;
0,86228;0,0715715;
0,86328;0,0714269;
0,86428;0,0712831;
0,86528;0,0711404;
0,86628;0,0709985;
0,86728;0,0708576;
0,86828;0,0707176;
0,86928;0,0705785;
0,87028;0,0704403;
0,87128;0,070303;
0,87228;0,0701665;
0,87328;0,0700309;
0,87428;0,0698962;
0,87528;0,0697623;
0,87628;0,0696292;
0,87728;0,069497;
0,87828;0,0693656;
0,87928;0,0692349;
0,88028;0,0691051;
0,88128;0,0689761;
0,88228;0,0688478;
0,88328;0,0687203;
0,88428;0,0685935;
0,88528;0,0684676;
0,88628;0,0683423;
0,88728;0,0682178;
0,88828;0,068094;
0,88928;0,067971;
0,89028;0,0678486;
0,89128;0,067727;
0,89228;0,067606;
0,89328;0,0674858;
0,89428;0,0673662;
0,89528;0,0672473;
0,89628;0,0671291;
0,89728;0,0670115;
0,89828;0,0668946;
0,89928;0,0667783;
0,9;0,066695;
